alpha,lr,gamma,episodes,reward
0.6,0.01,0.9,40,1.8602978256693425
0.8,0.01,0.99,20,1.8602978256693425
0.6,0.01,0.99,40,1.8602978256693425
0.6,0.01,0.9,20,1.7491867145582316
0.8,0.002,0.99,10,1.7138920384740817
0.8,0.0005,0.99,10,1.7093598747313916
0.8,0.01,0.99,40,1.6907318653139085
0.8,0.01,0.9,20,1.6907318653139085
0.8,0.01,0.9,40,1.6508195846121545
0.8,0.002,0.9,10,1.6508195846121545
0.8,0.002,0.99,20,1.6508195846121545
0.6,0.01,0.99,20,1.6400958054673225
0.6,0.002,0.9,40,1.6400958054673225
0.8,0.0005,0.9,10,1.6400958054673225
0.6,0.0005,0.9,20,1.561078185660229
0.6,0.0005,0.9,10,1.5335168580989014
0.6,0.01,0.9,10,1.5335168580989014
0.6,0.002,0.99,40,1.5211659049584747
0.6,0.01,0.99,10,1.5211659049584747
0.8,0.0005,0.99,20,1.5211659049584747
0.8,0.01,0.9,10,1.5211659049584747
0.6,0.002,0.9,20,1.5099104937030634
0.8,0.01,0.99,10,1.4979202909233869
0.6,0.0005,0.99,20,1.4936900182720614
0.8,0.0005,0.99,40,1.4866648796679756
0.6,0.0005,0.99,40,1.4866648796679756
0.6,0.002,0.99,20,1.4705298451118884
0.6,0.0005,0.99,10,1.4705298451118884
0.8,0.002,0.99,40,1.4673286603317561
0.6,0.0005,0.9,40,1.4600209972346194
0.8,0.002,0.9,20,1.4586129316160277
0.8,0.0005,0.9,20,1.4337222959359184
0.8,0.0005,0.9,40,1.4179380801517025
0.6,0.002,0.99,10,1.4100547938473635
0.6,0.002,0.9,10,1.4100547938473635
0.8,0.002,0.9,40,1.3046924661166148
0.2,0.01,0.99,40,1.1280490218415915
0.2,0.002,0.99,40,1.1280490218415915
0.2,0.01,0.9,40,1.0834231970300081
0.2,0.002,0.9,40,1.064976567979664
0.2,0.0005,0.99,20,1.064976567979664
0.2,0.0005,0.99,40,1.064976567979664
0.2,0.01,0.9,20,1.064976567979664
0.2,0.002,0.9,10,1.064976567979664
0.2,0.002,0.99,20,1.064976567979664
0.2,0.0005,0.9,10,1.0516432346463307
0.2,0.002,0.99,10,1.0516432346463307
0.2,0.0005,0.9,40,1.0392117772148732
0.2,0.01,0.99,20,1.015733138550476
0.2,0.0005,0.99,10,1.0154866890935001
0.2,0.0005,0.9,20,0.9624875245153882
0.2,0.01,0.9,10,0.9369319689598328
0.2,0.002,0.9,20,0.9294078556462457
0.2,0.01,0.99,10,-0.24206853245635288
